# Undirected graph (each unordered pair of nodes is saved once): edges_500.csv
# Nodes: 500 Edges: 9721
# NodeId	NodeId
1	5
1	6
1	8
1	12
1	13
1	14
1	16
1	20
1	21
1	22
1	25
1	26
1	27
1	29
1	30
1	31
1	32
1	33
1	34
1	36
1	37
1	38
1	39
1	1270
1	5816
1	8223
1	8253
1	19252
1	20512
1	29792
5	31
5	460
5	491
5	822
5	1046
5	1162
5	1228
5	1641
5	2661
5	3121
5	5518
5	9698
5	9726
5	30916
6	13
6	14
6	22
6	27
6	29
6	33
6	34
6	36
6	39
6	40
6	267
6	269
6	271
6	274
6	276
6	277
6	284
6	286
6	288
6	289
6	290
6	391
6	392
6	393
6	394
6	395
6	407
6	451
6	470
6	515
6	521
6	527
6	543
6	555
6	556
6	569
6	570
6	587
6	627
6	630
6	636
6	655
6	726
6	781
6	787
6	796
6	804
6	820
6	861
6	881
6	899
6	904
6	915
6	952
6	968
6	1020
6	1029
6	1104
6	1109
6	1119
6	1198
6	1207
6	1213
6	1236
6	1246
6	1261
6	1279
6	1438
6	1893
6	1985
6	2494
6	2583
6	2584
6	2585
6	2586
6	2587
6	2588
6	2589
6	2590
6	2591
6	2592
6	2593
6	2594
6	2595
6	2596
6	2597
6	2598
6	2599
6	2600
6	2601
6	2602
6	2603
6	2604
6	2605
6	2606
6	2608
6	2609
6	2610
6	2611
6	2612
6	2613
6	2614
6	2615
6	2616
6	2617
6	2618
6	2619
6	2661
6	2760
6	3082
6	3121
6	3194
6	4909
6	5019
6	5816
6	5931
6	6546
6	7000
6	7295
6	7296
6	7354
6	7608
6	8223
6	8253
6	8502
6	8910
6	9459
6	9684
6	9685
6	9726
6	11170
6	11382
6	13065
6	13356
6	13399
6	14126
6	14222
6	14550
6	14790
6	15601
6	15668
6	18133
6	18495
6	18581
6	19245
6	19252
6	19616
6	19620
6	19626
6	19627
6	19703
6	19727
6	19966
6	20116
6	20428
6	20512
6	20518
6	21067
6	21071
6	21268
6	22936
6	22951
6	22952
6	22965
6	23756
6	23790
6	24057
6	24552
6	26157
6	26816
6	26855
6	27022
6	27268
6	27345
6	27401
6	27458
6	27904
6	27921
6	28409
6	28569
6	28620
6	29180
6	29792
6	30053
8	278
8	440
8	460
8	491
8	500
8	543
8	626
8	796
8	822
8	1029
8	1054
8	1162
8	1228
8	3186
8	3194
8	7608
8	11170
8	13399
8	13458
8	14126
8	18133
8	18495
8	18581
8	19612
8	21268
8	22936
8	27350
8	30916
12	460
12	491
12	539
12	543
12	626
12	822
12	1029
12	1162
12	1228
12	1641
12	3186
12	5816
12	9459
12	11170
12	12807
12	12868
12	13399
12	13458
12	14126
12	14222
12	15601
12	18133
12	18495
12	20428
12	20518
12	21069
12	23714
12	26157
12	26855
12	27268
12	27350
12	27921
12	29180
13	31
13	440
13	491
13	512
13	543
13	796
13	822
13	1054
13	1104
13	1228
13	1641
13	2494
13	5418
13	5816
13	5931
13	6546
13	7354
13	8253
13	8502
13	12868
13	13065
13	13399
13	13458
13	13977
13	14222
13	14790
13	18133
13	19068
13	19245
13	19612
13	19616
13	19620
13	19626
13	19966
13	20116
13	20512
13	22936
13	22965
13	23505
13	23756
13	26157
13	27022
13	27458
13	27904
13	28409
13	28620
13	30916
14	31
14	460
14	491
14	626
14	796
14	822
14	1029
14	1228
14	1641
14	2494
14	2603
14	2608
14	3082
14	3186
14	5816
14	5931
14	6546
14	7354
14	7608
14	8223
14	8253
14	8502
14	8850
14	8910
14	9459
14	9684
14	11170
14	12807
14	12868
14	13065
14	13399
14	14126
14	14222
14	14550
14	14790
14	15601
14	15668
14	18133
14	18495
14	18599
14	19068
14	19245
14	19616
14	19620
14	19626
14	19966
14	20116
14	20428
14	20509
14	20512
14	21071
14	21268
14	22936
14	22965
14	23283
14	23505
14	23714
14	26157
14	26855
14	27022
14	27268
14	27350
14	27401
14	27458
14	27904
14	27921
14	28409
14	28620
14	29180
14	30916
16	31
16	40
16	278
16	391
16	440
16	460
16	491
16	543
16	1029
16	1162
16	1213
16	1228
16	2760
16	5518
16	5816
16	12868
16	14126
16	18133
16	18581
16	19252
16	30916
20	31
20	543
20	626
20	822
20	1029
20	1162
20	1213
20	1228
20	1641
20	2608
20	3082
20	3186
20	5418
20	5864
20	7608
20	8223
20	8850
20	12807
20	12868
20	13065
20	13399
20	14126
20	18133
20	18495
20	18599
20	19627
20	20428
20	20518
20	21268
20	22951
20	26157
20	27268
20	27350
20	28409
21	31
21	40
21	278
21	440
21	460
21	491
21	543
21	796
21	822
21	1029
21	1054
21	1104
21	1228
21	2661
21	2760
21	3082
21	3194
21	7608
21	9698
21	12868
21	12975
21	14126
21	18133
21	18581
21	19612
21	30916
22	31
22	40
22	278
22	440
22	460
22	491
22	543
22	626
22	796
22	822
22	1029
22	1162
22	1213
22	1228
22	1641
22	2603
22	2608
22	3082
22	3186
22	5816
22	7296
22	7354
22	7608
22	8253
22	8850
22	9459
22	9685
22	11321
22	12807
22	12868
22	13065
22	13356
22	13399
22	13977
22	14126
22	14222
22	14550
22	15601
22	18133
22	18495
22	19252
22	19626
22	19627
22	19966
22	20116
22	20428
22	20512
22	23714
22	23756
22	24567
22	26855
22	27268
22	27350
22	27401
22	27921
22	28409
22	28620
25	31
25	40
25	278
25	440
25	460
25	543
25	626
25	822
25	1029
25	1054
25	1104
25	1228
25	2618
25	3082
25	5630
25	7608
25	9459
25	12868
25	13065
25	13458
25	18133
25	18495
25	18581
25	19612
25	20518
25	21268
25	30916
26	31
26	278
26	440
26	460
26	491
26	543
26	626
26	796
26	822
26	1029
26	1104
26	1162
26	1228
26	1641
26	3186
26	7608
26	12868
26	13399
26	13458
26	14126
26	18133
26	18495
26	19252
26	20518
26	21268
26	22936
26	27350
26	30916
27	31
27	38
27	278
27	391
27	440
27	460
27	491
27	500
27	504
27	512
27	539
27	543
27	626
27	796
27	822
27	1029
27	1046
27	1054
27	1104
27	1162
27	1213
27	1228
27	1641
27	2494
27	2618
27	3082
27	3155
27	3186
27	3194
27	5418
27	5518
27	5816
27	5931
27	6546
27	7354
27	7726
27	8223
27	8253
27	8495
27	8850
27	9459
27	9684
27	9685
27	9698
27	11170
27	11480
27	11519
27	12807
27	12868
27	13065
27	13399
27	13458
27	14126
27	14222
27	14550
27	14790
27	15601
27	15668
27	18133
27	18495
27	18599
27	19068
27	19612
27	19616
27	19620
27	19626
27	19627
27	19966
27	20116
27	20428
27	20446
27	20512
27	20518
27	21069
27	21071
27	21268
27	22936
27	22951
27	22965
27	23283
27	23505
27	23714
27	23756
27	23790
27	23791
27	26157
27	26855
27	27022
27	27268
27	27350
27	27401
27	27458
27	27921
27	28409
27	28620
27	29180
29	31
29	278
29	440
29	460
29	491
29	543
29	626
29	1029
29	1104
29	1162
29	1213
29	1228
29	1641
29	2494
29	2760
29	5931
29	6546
29	7354
29	8253
29	8502
29	13065
29	14126
29	14222
29	14790
29	18133
29	18581
29	19068
29	19616
29	19620
29	19626
29	19966
29	20116
29	20428
29	22936
29	22965
29	24057
29	26157
29	27401
29	27904
29	28620
30	31
30	40
30	278
30	440
30	460
30	491
30	500
30	504
30	512
